"National
Dex","Pokemon
Name",Type,Type I,Type II,Gen,Pag,Posición
"386,1",Deoxys (Attack),Mythical,Psychic,,Gen 4,40,9
"386,2",Deoxys (Defense),Mythical,Psychic,,Gen 4,40,10
"386,3",Deoxys (Speed),Mythical,Psychic,,Gen 4,40,11
387,Turtwig,Starter,Grass,,Gen 4,40,12
388,Grotle,Starter,Grass,,Gen 4,41,1
389,Torterra,Starter,Grass,Ground,Gen 4,41,2
390,Chimchar,Starter,Fire,,Gen 4,41,3
391,Monferno,Starter,Fire,Fighting,Gen 4,41,4
392,Infernape,Starter,Fire,Fighting,Gen 4,41,5
393,Piplup,Starter,Water,,Gen 4,41,6
394,Prinplup,Starter,Water,,Gen 4,41,7
395,Empoleon,Starter,Water,Steel,Gen 4,41,8
396,Starly,,Normal,Flying,Gen 4,41,9
397,Staravia,,Normal,Flying,Gen 4,41,10
398,Staraptor,,Normal,Flying,Gen 4,41,11
399,Bidoof,,Normal,,Gen 4,41,12
400,Bibarel,,Normal,Water,Gen 4,42,1
401,Kricketot,,Bug,,Gen 4,42,2
402,Kricketune,,Bug,,Gen 4,42,3
403,Shinx,,Electric,,Gen 4,42,4
404,Luxio,,Electric,,Gen 4,42,5
405,Luxray,,Electric,,Gen 4,42,6
406,Budew,Baby,Grass,Poison,Gen 4,42,7
407,Roserade,,Grass,Poison,Gen 4,42,8
408,Cranidos,Fossil,Rock,,Gen 4,42,9
409,Rampardos,Fossil,Rock,,Gen 4,42,10
410,Shieldon,Fossil,Rock,Steel,Gen 4,42,11
411,Bastiodon,Fossil,Rock,Steel,Gen 4,42,12
412,Burmy (Plant),,Bug,,Gen 4,43,1
"412,1",Burmy (Sandy),,Bug,,Gen 4,43,2
"412,2",Burmy (Trash),,Bug,,Gen 4,43,3
413,Wormadam (Plant),,Bug,Grass,Gen 4,43,4
"413,1",Wormadam (Sandy),,Bug,Ground,Gen 4,43,5
"413,2",Wormadam (Trash),,Bug,Steel,Gen 4,43,6
414,Mothim,,Bug,Flying,Gen 4,43,7
415,Combee,,Bug,Flying,Gen 4,43,8
416,Vespiquen,,Bug,Flying,Gen 4,43,9
417,Pachirisu,,Electric,,Gen 4,43,10
418,Buizel,,Water,,Gen 4,43,11
419,Floatzel,,Water,,Gen 4,43,12
420,Cherubi,,Grass,,Gen 4,44,1
421,Cherrim (Overcast),,Grass,,Gen 4,44,2
"421,1",Cherrim (Sunshine),,Grass,,Gen 4,44,3
422,Shellos (East),,Water,,Gen 4,44,4
"422,1",Shellos (West),,Water,,Gen 4,44,5
423,Gastrodon (East),,Water,Ground,Gen 4,44,6
"423,1",Gastrodon (West),,Water,Ground,Gen 4,44,7
424,Ambipom,,Normal,,Gen 4,44,8
425,Drifloon,,Ghost,Flying,Gen 4,44,9
426,Drifblim,,Ghost,Flying,Gen 4,44,10
427,Buneary,,Normal,,Gen 4,44,11
428,Lopunny,,Normal,,Gen 4,44,12
"428,1",Lopunny (Mega),Mega Evolution,Normal,Fighting,Gen 4,45,1
429,Mismagius,,Ghost,,Gen 4,45,2
430,Honchkrow,,Dark,Flying,Gen 4,45,3
431,Glameow,,Normal,,Gen 4,45,4
432,Purugly,,Normal,,Gen 4,45,5
433,Chingling,Baby,Psychic,,Gen 4,45,6
434,Stunky,,Poison,Dark,Gen 4,45,7
435,Skuntank,,Poison,Dark,Gen 4,45,8
436,Bronzor,,Steel,Psychic,Gen 4,45,9
437,Bronzong,,Steel,Psychic,Gen 4,45,10
438,Bonsly,Baby,Rock,,Gen 4,45,11
439,Mime Jr.,Baby,Psychic,Fairy,Gen 4,45,12
440,Happiny,Baby,Normal,,Gen 4,46,1
441,Chatot,,Normal,Flying,Gen 4,46,2
442,Spiritomb,,Ghost,Dark,Gen 4,46,3
443,Gible,Pseudo Legendary,Dragon,Ground,Gen 4,46,4
444,Gabite,Pseudo Legendary,Dragon,Ground,Gen 4,46,5
445,Garchomp,Pseudo Legendary,Dragon,Ground,Gen 4,46,6
"445,1",Garchomp (Mega),"Psuedo Legendary, Mega Evolution",Dragon,Ground,Gen 4,46,7
446,Munchlax,Baby,Normal,,Gen 4,46,8
447,Riolu,Baby,Fighting,,Gen 4,46,9
448,Lucario,,Fighting,Steel,Gen 4,46,10
"448,1",Lucario (Mega),Mega Evolution,Fighting,Steel,Gen 4,46,11
449,Hippopotas,,Ground,,Gen 4,46,12
450,Hippowdon,,Ground,,Gen 4,47,1
451,Skorupi,,Poison,Bug,Gen 4,47,2
452,Drapion,,Poison,Dark,Gen 4,47,3
453,Croagunk,,Poison,Fighting,Gen 4,47,4
454,Toxicroak,,Poison,Fighting,Gen 4,47,5
455,Carnivine,,Grass,,Gen 4,47,6
456,Finneon,,Water,,Gen 4,47,7
457,Lumineon,,Water,,Gen 4,47,8
458,Mantyke,Baby,Water,Flying,Gen 4,47,9
459,Snover,,Grass,Ice,Gen 4,47,10
460,Abomasnow,,Grass,Ice,Gen 4,47,11
"460,1",Abomasnow (Mega),Mega Evolution,Grass,Ice,Gen 4,47,12
461,Weavile,,Dark,Ice,Gen 4,48,1
462,Magnezone,,Electric,Steel,Gen 4,48,2
463,Lickilicky,,Normal,,Gen 4,48,3
464,Rhyperior,,Ground,Rock,Gen 4,48,4
465,Tangrowth,,Grass,,Gen 4,48,5
466,Electivire,,Electric,,Gen 4,48,6
467,Magmortar,,Fire,,Gen 4,48,7
468,Togekiss,,Fairy,Flying,Gen 4,48,8
469,Yanmega,,Bug,Flying,Gen 4,48,9
470,Leafeon,Eeveelution,Grass,,Gen 4,48,10
471,Glaceon,Eeveelution,Ice,,Gen 4,48,11
472,Gliscor,,Ground,Flying,Gen 4,48,12
473,Mamoswine,,Ice,Ground,Gen 4,49,1
474,Porygon-Z,,Normal,,Gen 4,49,2
475,Gallade,,Psychic,Fighting,Gen 4,49,3
"475,1",Gallade (Mega),Mega Evolution,Psychic,Fighting,Gen 4,49,4
476,Probopass,,Rock,Steel,Gen 4,49,5
477,Dusknoir,,Ghost,,Gen 4,49,6
478,Froslass,,Ice,Ghost,Gen 4,49,7
479,Rotom,,Electric,Ghost,Gen 4,49,8
"479,1",Rotom (Heat),,Electric,Fire,Gen 4,49,9
"479,2",Rotom (Wash),,Electric,Water,Gen 4,49,10
"479,3",Rotom (Frost),,Electric,Ice,Gen 4,49,11
"479,4",Rotom (Fan),,Electric,Flying,Gen 4,49,12
"479,5",Rotom (Mow),,Electric,Grass,Gen 4,50,1
480,Uxie,Sub-Legendary,Psychic,,Gen 4,50,2
481,Mesprit,Sub-Legendary,Psychic,,Gen 4,50,3
482,Azelf,Sub-Legendary,Psychic,,Gen 4,50,4
483,Dialga (Altered),Legendary,Steel,Dragon,Gen 4,50,5
"483,1",Dialga (Origin),Legendary,Steel,Dragon,Gen 4,50,6
484,Palkia (Altered),Legendary,Water,Dragon,Gen 4,50,7
"484,1",Palkia (Origin),Legendary,Water,Dragon,Gen 4,50,8
485,Heatran,Sub-Legendary,Fire,Steel,Gen 4,50,9
486,Regigigas,Sub-Legendary,Normal,,Gen 4,50,10
487,Giratina (Altered),Legendary,Ghost,Dragon,Gen 4,50,11
"487,1",Giratina (Origin),Legendary,Ghost,Dragon,Gen 4,50,12
488,Cresselia,Sub-Legendary,Psychic,,Gen 4,51,1
489,Phione,Mythical,Water,,Gen 4,51,2
490,Manaphy,Mythical,Water,,Gen 4,51,3
491,Darkrai,Mythical,Dark,,Gen 4,51,4
492,Shaymin (Land),Mythical,Grass,,Gen 4,51,5
"492,1",Shaymin (Sky),Mythical,Grass,Flying,Gen 4,51,6
493,Arceus,Mythical,Normal,,Gen 4,51,7
494,Victini,Mythical,Psychic,Fire,Gen 5,51,8
495,Snivy,Starter,Grass,,Gen 5,51,9
496,Servine,Starter,Grass,,Gen 5,51,10
497,Serperior,Starter,Grass,,Gen 5,51,11
498,Tepig,Starter,Fire,,Gen 5,51,12
499,Pignite,Starter,Fire,Fighting,Gen 5,52,1
500,Emboar,Starter,Fire,Fighting,Gen 5,52,2
501,Oshawott,Starter,Water,,Gen 5,52,3
502,Dewott,Starter,Water,,Gen 5,52,4
503,Samurott,Starter,Water,,Gen 5,52,5
"503,1",Samurott (Hisuian),"Starter, Hisuian Variant",Water,Dark,Gen 5,52,6
504,Patrat,,Normal,,Gen 5,52,7
505,Watchog,,Normal,,Gen 5,52,8
506,Lillipup,,Normal,,Gen 5,52,9
507,Herdier,,Normal,,Gen 5,52,10
508,Stoutland,,Normal,,Gen 5,52,11
509,Purrloin,,Dark,,Gen 5,52,12
510,Liepard,,Dark,,Gen 5,53,1
511,Pansage,,Grass,,Gen 5,53,2
512,Simisage,,Grass,,Gen 5,53,3
513,Pansear,,Fire,,Gen 5,53,4
514,Simisear,,Fire,,Gen 5,53,5
515,Panpour,,Water,,Gen 5,53,6
516,Simipour,,Water,,Gen 5,53,7
517,Munna,,Psychic,,Gen 5,53,8
518,Musharna,,Psychic,,Gen 5,53,9
519,Pidove,,Normal,Flying,Gen 5,53,10
520,Tranquill,,Normal,Flying,Gen 5,53,11
521,Unfezant,,Normal,Flying,Gen 5,53,12
522,Blitzle,,Electric,,Gen 5,54,1
523,Zebstrika,,Electric,,Gen 5,54,2
524,Roggenrola,,Rock,,Gen 5,54,3
525,Boldore,,Rock,,Gen 5,54,4
526,Gigalith,,Rock,,Gen 5,54,5
527,Woobat,,Psychic,Flying,Gen 5,54,6
528,Swoobat,,Psychic,Flying,Gen 5,54,7
529,Drilbur,,Ground,,Gen 5,54,8
530,Excadrill,,Ground,Steel,Gen 5,54,9
531,Audino,,Normal,,Gen 5,54,10
"531,1",Audino (Mega),Mega Evolution,Normal,Fairy,Gen 5,54,11
532,Timburr,,Fighting,,Gen 5,54,12
533,Gurdurr,,Fighting,,Gen 5,55,1
534,Conkeldurr,,Fighting,,Gen 5,55,2
535,Tympole,,Water,,Gen 5,55,3
536,Palpitoad,,Water,Ground,Gen 5,55,4
537,Seismitoad,,Water,Ground,Gen 5,55,5
538,Throh,,Fighting,,Gen 5,55,6
539,Sawk,,Fighting,,Gen 5,55,7
540,Sewaddle,,Bug,Grass,Gen 5,55,8
541,Swadloon,,Bug,Grass,Gen 5,55,9
542,Leavanny,,Bug,Grass,Gen 5,55,10
543,Venipede,,Bug,Poison,Gen 5,55,11
544,Whirlipede,,Bug,Poison,Gen 5,55,12
545,Scolipede,,Bug,Poison,Gen 5,56,1
546,Cottonee,,Grass,Fairy,Gen 5,56,2
547,Whimsicott,,Grass,Fairy,Gen 5,56,3
548,Petilil,,Grass,,Gen 5,56,4
549,Lilligant,,Grass,,Gen 5,56,5
"549,1",Lilligant (Hisuian),Hisuian Form,Grass,Fighting,Gen 5,56,6
550,Basculin (Red-Striped),,Water,,Gen 5,56,7
"550,1",Basculin (Blue-STriped),,Water,,Gen 5,56,8
"550,2",Basculin (Hisuian),Hisuian Form,Water,,Gen 5,56,9
551,Sandile,,Ground,Dark,Gen 5,56,10
552,Krokorok,,Ground,Dark,Gen 5,56,11
553,Krookodile,,Ground,Dark,Gen 5,56,12
554,Darumaka,,Fire,,Gen 5,57,1
"554,1",Darumaka (Galarian),Galarian Form,Ice,,Gen 5,57,2
555,Darmanitan,,Fire,,Gen 5,57,3
"555,1",Darmanitan (Zen Mode),,Fire,Psychic,Gen 5,57,4
"555,2",Darmanitan (Galarian),Galarian Form,Ice,,Gen 5,57,5
"555,3","Darmanitan (Galarian, Zen Mode)",Galarian Form,Ice,Fire,Gen 5,57,6
556,Maractus,,Grass,,Gen 5,57,7
557,Dwebble,,Bug,Rock,Gen 5,57,8
558,Crustle,,Bug,Rock,Gen 5,57,9
559,Scraggy,,Dark,Fighting,Gen 5,57,10
560,Scrafty,,Dark,Fighting,Gen 5,57,11
561,Sigilyph,,Psychic,Flying,Gen 5,57,12
562,Yamask,,Ghost,,Gen 5,58,1
"562,1",Yamask (Galarian),Galarian Form,Ground,Ghost,Gen 5,58,2
563,Cofagrigus,,Ghost,,Gen 5,58,3
564,Tirtouga,Fossil,Water,Rock,Gen 5,58,4
565,Carracosta,Fossil,Water,Rock,Gen 5,58,5
566,Archen,Fossil,Rock,Flying,Gen 5,58,6
567,Archeops,Fossil,Rock,Flying,Gen 5,58,7
568,Trubbish,,Poison,,Gen 5,58,8
569,Garbodor,,Poison,,Gen 5,58,9
570,Zorua,,Dark,,Gen 5,58,10
"570,1",Zorua (Hisuian),Hisuian Form,Normal,Ghost,Gen 5,58,11
571,Zoroark,,Dark,,Gen 5,58,12
"571,1",Zoroark (Hisuian),Hisuian Form,Normal,Ghost,Gen 5,59,1
572,Minccino,,Normal,,Gen 5,59,2
573,Cinccino,,Normal,,Gen 5,59,3
574,Gothita,,Psychic,,Gen 5,59,4
575,Gothorita,,Psychic,,Gen 5,59,5
576,Gothitelle,,Psychic,,Gen 5,59,6
577,Solosis,,Psychic,,Gen 5,59,7
578,Duosion,,Psychic,,Gen 5,59,8
579,Reuniclus,,Psychic,,Gen 5,59,9
580,Ducklett,,Water,Flying,Gen 5,59,10
581,Swanna,,Water,Flying,Gen 5,59,11
582,Vanillite,,Ice,,Gen 5,59,12
583,Vanillish,,Ice,,Gen 5,60,1
584,Vanilluxe,,Ice,,Gen 5,60,2
585,Deerling (Spring),,Normal,Grass,Gen 5,60,3
"585,1",Deerling (Summer),,Normal,Grass,Gen 5,60,4
"585,2",Deerling (Autumn),,Normal,Grass,Gen 5,60,5
"585,3",Deerling (Winter),,Normal,Grass,Gen 5,60,6
586,Sawsbuck,,Normal,Grass,Gen 5,60,7
587,Emolga,,Electric,Flying,Gen 5,60,8
588,Karrablast,,Bug,,Gen 5,60,9
589,Escavalier,,Bug,Steel,Gen 5,60,10
590,Foongus,,Grass,Poison,Gen 5,60,11
591,Amoonguss,,Grass,Poison,Gen 5,60,12
592,Frillish,,Water,Ghost,Gen 5,1,1
593,Jellicent,,Water,Ghost,Gen 5,1,2
594,Alomomola,,Water,,Gen 5,1,3
595,Joltik,,Bug,Electric,Gen 5,1,4
596,Galvantula,,Bug,Electric,Gen 5,1,5
597,Ferroseed,,Grass,Steel,Gen 5,1,6
598,Ferrothorn,,Grass,Steel,Gen 5,1,7
599,Klink,,Steel,,Gen 5,1,8
600,Klang,,Steel,,Gen 5,1,9
601,Klinklang,,Steel,,Gen 5,2,1
602,Tynamo,,Electric,,Gen 5,2,2
603,Eelektrik,,Electric,,Gen 5,2,3
604,Eelektross,,Electric,,Gen 5,2,4
605,Elgyem,,Psychic,,Gen 5,2,5
606,Beheeyem,,Psychic,,Gen 5,2,6
607,Litwick,,Ghost,Fire,Gen 5,2,7
608,Lampent,,Ghost,Fire,Gen 5,2,8
609,Chandelure,,Ghost,Fire,Gen 5,2,9
610,Axew,,Dragon,,Gen 5,3,1
611,Fraxure,,Dragon,,Gen 5,3,2
612,Haxorus,,Dragon,,Gen 5,3,3
613,Cubchoo,,Ice,,Gen 5,3,4
614,Beartic,,Ice,,Gen 5,3,5
615,Cryogonal,,Ice,,Gen 5,3,6
616,Shelmet,,Bug,,Gen 5,3,7
617,Accelgor,,Bug,,Gen 5,3,8
618,Stunfisk,,Ground,Electric,Gen 5,3,9
"618,1",Stunfisk (Galarian),Galarian Form,Ground,Steel,Gen 5,4,1
619,Mienfoo,,Fighting,,Gen 5,4,2
620,Mienshao,,Fighting,,Gen 5,4,3
621,Druddigon,,Dragon,,Gen 5,4,4
622,Golett,,Ground,Ghost,Gen 5,4,5
623,Golurk,,Ground,Ghost,Gen 5,4,6
624,Pawniard,,Dark,Steel,Gen 5,4,7
625,Bisharp,,Dark,Steel,Gen 5,4,8
626,Bouffalant,,Normal,,Gen 5,4,9
627,Rufflet,,Normal,Flying,Gen 5,5,1
628,Braviary,,Normal,Flying,Gen 5,5,2
"628,1",Braviary (Hisuian),Hisuian Form,Psychic,Flying,Gen 5,5,3
629,Vullaby,,Dark,Flying,Gen 5,5,4
630,Mandibuzz,,Dark,Flying,Gen 5,5,5
631,Heatmor,,Fire,,Gen 5,5,6
632,Durant,,Bug,Steel,Gen 5,5,7
633,Deino,Pseudo Legendary,Dark,Dragon,Gen 5,5,8
634,Zweilous,Pseudo Legendary,Dark,Dragon,Gen 5,5,9
635,Hydreigon,Pseudo Legendary,Dark,Dragon,Gen 5,6,1
636,Larvesta,,Bug,Fire,Gen 5,6,2
637,Volcarona,,Bug,Fire,Gen 5,6,3
638,Cobalion,Sub-Legendary,Steel,Fighting,Gen 5,6,4
639,Terrakion,Sub-Legendary,Rock,Fighting,Gen 5,6,5
640,Virizion,Sub-Legendary,Grass,Fighting,Gen 5,6,6
641,Tornadus (Incarnate),Sub-Legendary,Flying,,Gen 5,6,7
"641,1",Tornadus (Therian),Sub-Legendary,Flying,,Gen 5,6,8
642,Thundurus (Incarnate),Sub-Legendary,Electric,Flying,Gen 5,6,9
"642,1",Thundurus (Therian),Sub-Legendary,Electric,Flying,Gen 5,7,1
643,Reshiram,Legendary,Dragon,Fire,Gen 5,7,2
644,Zekrom,Legendary,Dragon,Electric,Gen 5,7,3
645,Landorus (Incarnate),Sub-Legendary,Ground,Flying,Gen 5,7,4
"645,1",Landorus (Therian),Sub-Legendary,Ground,Flying,Gen 5,7,5
646,Kyurem,Legendary,Dragon,Ice,Gen 5,7,6
"646,1",Kyurem (Black),Legendary,Dragon,Ice,Gen 5,7,7
"646,2",Kyurem (White),Legendary,Dragon,Ice,Gen 5,7,8
647,Keldeo,Mythical,Water,Fighting,Gen 5,7,9
648,Meloetta (Aria),Mythical,Normal,Psychic,Gen 5,8,1
"648,1",Meloetta (Pirouette),Mythical,Normal,Fighting,Gen 5,8,2
649,Genesect,Mythical,Bug,Steel,Gen 5,8,3
650,Chespin,Starter,Grass,,Gen 6,8,4
651,Quilladin,Starter,Grass,,Gen 6,8,5
652,Chesnaught,Starter,Grass,Fighting,Gen 6,8,6
653,Fennekin,Starter,Fire,,Gen 6,8,7
654,Braixen,Starter,Fire,,Gen 6,8,8
655,Delphox,Starter,Fire,Psychic,Gen 6,8,9
656,Froakie,Starter,Water,,Gen 6,9,1
657,Frogadier,Starter,Water,,Gen 6,9,2
658,Greninja,Starter,Water,Dark,Gen 6,9,3
"658,1",Ash-Greninja,,Water,Dark,Gen 6,9,4
659,Bunnelby,,Normal,,Gen 6,9,5
660,Diggersby,,Normal,Ground,Gen 6,9,6
661,Fletchling,,Normal,Flying,Gen 6,9,7
662,Fletchinder,,Fire,Flying,Gen 6,9,8
663,Talonflame,,Fire,Flying,Gen 6,9,9
664,Scatterbug,,Bug,,Gen 6,10,1
665,Spewpa,,Bug,,Gen 6,10,2
666,Vivillon (Meadow/Fancy),,Bug,Flying,Gen 6,10,3
"666,1",Vivillon (Polar/Tundra/Marine),,Bug,Flying,Gen 6,10,4
"666,2",Vivillon (Continental),,Bug,Flying,Gen 6,10,5
"666,3",Vivillon (Garden/Savanna/Jungle),,Bug,Flying,Gen 6,10,6
"666,4",Vivillon (Elegant),,Bug,Flying,Gen 6,10,7
"666,5",Vivillon (Icy Snow),,Bug,Flying,Gen 6,10,8
"666,6",Vivillon (Mod/Sun/Ocean/Poke Ball),,Bug,Flying,Gen 6,10,9
"666,7",Vivillon (HiPl/SS/Arch/Riv),,Bug,Flying,Gen 6,11,1
"666,8",Vivillon (Monsoon),,Bug,Flying,Gen 6,11,2
667,Litleo,,Fire,Normal,Gen 6,11,3
668,Pyroar,,Fire,Normal,Gen 6,11,4
669,Flabébé,,Fairy,,Gen 6,11,5
670,Floette,,Fairy,,Gen 6,11,6
671,Florges,,Fairy,,Gen 6,11,7
672,Skiddo,,Grass,,Gen 6,11,8
673,Gogoat,,Grass,,Gen 6,11,9
674,Pancham,,Fighting,,Gen 6,12,1
675,Pangoro,,Fighting,Dark,Gen 6,12,2
676,Furfrou,,Normal,,Gen 6,12,3
677,Espurr,,Psychic,,Gen 6,12,4
678,Meowstic (Female),,Psychic,,Gen 6,12,5
"678,1",Meowstic (Male),,Psychic,,Gen 6,12,6
679,Honedge,,Steel,Ghost,Gen 6,12,7
680,Doublade,,Steel,Ghost,Gen 6,12,8
681,Aegislash (Shield),,Steel,Ghost,Gen 6,12,9
"681,1",Aegislash (Blade),,Steel,Ghost,Gen 6,13,1
682,Spritzee,,Fairy,,Gen 6,13,2
683,Aromatisse,,Fairy,,Gen 6,13,3
684,Swirlix,,Fairy,,Gen 6,13,4
685,Slurpuff,,Fairy,,Gen 6,13,5
686,Inkay,,Dark,Psychic,Gen 6,13,6
687,Malamar,,Dark,Psychic,Gen 6,13,7
688,Binacle,,Rock,Water,Gen 6,13,8
689,Barbaracle,,Rock,Water,Gen 6,13,9
690,Skrelp,,Poison,Water,Gen 6,14,1
691,Dragalge,,Poison,Dragon,Gen 6,14,2
692,Clauncher,,Water,,Gen 6,14,3
693,Clawitzer,,Water,,Gen 6,14,4
694,Helioptile,,Electric,Normal,Gen 6,14,5
695,Heliolisk,,Electric,Normal,Gen 6,14,6
696,Tyrunt,Fossil,Rock,Dragon,Gen 6,14,7
697,Tyrantrum,Fossil,Rock,Dragon,Gen 6,14,8
698,Amaura,Fossil,Rock,Ice,Gen 6,14,9
699,Aurorus,Fossil,Rock,Ice,Gen 6,15,1
700,Sylveon,Eeveelution,Fairy,,Gen 6,15,2
701,Hawlucha,,Fighting,Flying,Gen 6,15,3
702,Dedenne,,Electric,Fairy,Gen 6,15,4
703,Carbink,,Rock,Fairy,Gen 6,15,5
704,Goomy,Pseudo Legendary,Dragon,,Gen 6,15,6
705,Sliggoo,Pseudo Legendary,Dragon,,Gen 6,15,7
"705,1",Sliggoo (Hisuian),"Pseudo Legendary, Hisuian Form",Steel,Dragon,Gen 6,15,8
706,Goodra,Pseudo Legendary,Dragon,,Gen 6,15,9
"706,1",Goodra (Hisuian),"Pseudo Legendary, Hisuian Form",Steel,Dragon,Gen 6,16,1
707,Klefki,,Steel,Fairy,Gen 6,16,2
708,Phantump,,Ghost,Grass,Gen 6,16,3
709,Trevenant,,Ghost,Grass,Gen 6,16,4
710,Pumpkaboo (Small),,Ghost,Grass,Gen 6,16,5
"710,1",Pumpkaboo (Average),,Ghost,Grass,Gen 6,16,6
"710,2",Pumpkaboo (Large),,Ghost,Grass,Gen 6,16,7
"710,3",Pumpkaboo (Super Size),,Ghost,Grass,Gen 6,16,8
711,Gourgeist (Small),,Ghost,Grass,Gen 6,16,9
"711,1",Gourgeist (Average),,Ghost,Grass,Gen 6,17,1
"711,2",Gourgeist (Large),,Ghost,Grass,Gen 6,17,2
"711,3",Gourgeist (Super Size),,Ghost,Grass,Gen 6,17,3
712,Bergmite,,Ice,,Gen 6,17,4
713,Avalugg,,Ice,,Gen 6,17,5
"713,1",Avalugg (Hisuian),Hisuian Form,Ice,Rock,Gen 6,17,6
714,Noibat,,Flying,Dragon,Gen 6,17,7
715,Noivern,,Flying,Dragon,Gen 6,17,8
716,Xerneas,Legendary,Fairy,,Gen 6,17,9
717,Yveltal,Legendary,Dark,Flying,Gen 6,18,1
718,Zygarde (10%),Legendary,Dragon,Ground,Gen 6,18,2
"718,1",Zygarde (50%),Legendary,Dragon,Ground,Gen 6,18,3
"718,2",Zygarde (Complete),Legendary,Dragon,Ground,Gen 6,18,4
719,Diancie,Mythical,Rock,Fairy,Gen 6,18,5
"719,1",Diancie (Mega),"Mythical, Mega Evolution",Rock,Fairy,Gen 6,18,6
720,Hoopa (Confined),Mythical,Psychic,Ghost,Gen 6,18,7
"720,1",Hoopa (Unbound),Mythical,Psychic,Dark,Gen 6,18,8
721,Volcanion,Mythical,Fire,Water,Gen 6,18,9
722,Rowlet,Starter,Grass,Flying,Gen 7,19,1
723,Dartrix,Starter,Grass,Flying,Gen 7,19,2
724,Decidueye,Starter,Grass,Ghost,Gen 7,19,3
"724,1",Decidueye (Hisuian),"Starter, Hisuian Variant",Grass,Fighting,Gen 7,19,4
725,Litten,Starter,Fire,,Gen 7,19,5
726,Torracat,Starter,Fire,,Gen 7,19,6
727,Incineroar,Starter,Fire,Dark,Gen 7,19,7
728,Popplio,Starter,Water,,Gen 7,19,8
729,Brionne,Starter,Water,,Gen 7,19,9
730,Primarina,Starter,Water,Fairy,Gen 7,20,1
731,Pikipek,,Normal,Flying,Gen 7,20,2
732,Trumbeak,,Normal,Flying,Gen 7,20,3
733,Toucannon,,Normal,Flying,Gen 7,20,4
734,Yungoos,,Normal,,Gen 7,20,5
735,Gumshoos,,Normal,,Gen 7,20,6
736,Grubbin,,Bug,,Gen 7,20,7
737,Charjabug,,Bug,Electric,Gen 7,20,8
738,Vikavolt,,Bug,Electric,Gen 7,20,9
739,Crabrawler,,Fighting,,Gen 7,21,1
740,Crabominable,,Fighting,Ice,Gen 7,21,2
741,Oricorio (Baile),,Fire,Flying,Gen 7,21,3
"741,1",Oricorio (Pa'u),,Psychic,Flying,Gen 7,21,4
"741,2",Oricorio (Pom-Pom),,Electric,Flying,Gen 7,21,5
"741,3",Oricorio (Sensu),,Ghost,Flying,Gen 7,21,6
742,Cutiefly,,Bug,Fairy,Gen 7,21,7
743,Ribombee,,Bug,Fairy,Gen 7,21,8
744,Rockruff,,Rock,,Gen 7,21,9
"744,1",Rockruff (Own Tempo),,Rock,,Gen 7,22,1
745,Lycanroc (Midday),,Rock,,Gen 7,22,2
"745,1",Lycanroc (Midnight),,Rock,,Gen 7,22,3
"745,2",Lycanroc (Dusk),,Rock,,Gen 7,22,4
746,Wishiwashi (Solo),,Water,,Gen 7,22,5
"746,1",Wishiwashi (School),,Water,,Gen 7,22,6
747,Mareanie,,Poison,Water,Gen 7,22,7
748,Toxapex,,Poison,Water,Gen 7,22,8
749,Mudbray,,Ground,,Gen 7,22,9
750,Mudsdale,,Ground,,Gen 7,23,1
751,Dewpider,,Water,Bug,Gen 7,23,2
752,Araquanid,,Water,Bug,Gen 7,23,3
753,Fomantis,,Grass,,Gen 7,23,4
754,Lurantis,,Grass,,Gen 7,23,5
755,Morelull,,Grass,Fairy,Gen 7,23,6
756,Shiinotic,,Grass,Fairy,Gen 7,23,7
757,Salandit,,Poison,Fire,Gen 7,23,8
758,Salazzle,,Poison,Fire,Gen 7,23,9
759,Stufful,,Normal,Fighting,Gen 7,24,1
760,Bewear,,Normal,Fighting,Gen 7,24,2
761,Bounsweet,,Grass,,Gen 7,24,3
762,Steenee,,Grass,,Gen 7,24,4
763,Tsareena,,Grass,,Gen 7,24,5
764,Comfey,,Fairy,,Gen 7,24,6
765,Oranguru,,Normal,Psychic,Gen 7,24,7
766,Passimian,,Fighting,,Gen 7,24,8
767,Wimpod,,Bug,Water,Gen 7,24,9
768,Golisopod,,Bug,Water,Gen 7,25,1
769,Sandygast,,Ghost,Ground,Gen 7,25,2
770,Palossand,,Ghost,Ground,Gen 7,25,3
771,Pyukumuku,,Water,,Gen 7,25,4
772,Type: Null,Sub-Legendary,Normal,,Gen 7,25,5
773,Silvally,Sub-Legendary,Normal,,Gen 7,25,6
774,Minior (Meteor),,Rock,Flying,Gen 7,25,7
"774,1",Minior (Red Core),,Rock,Flying,Gen 7,25,8
"774,2",Minior (Orange Core),,Rock,Flying,Gen 7,25,9
"774,3",Minior (Yellow Core),,Rock,Flying,Gen 7,26,1
"774,4",Minior (Green Core),,Rock,Flying,Gen 7,26,2
"774,5",Minior (Blue Core),,Rock,Flying,Gen 7,26,3
"774,6",Minior (Indigo Core),,Rock,Flying,Gen 7,26,4
"774,7",Minior (Violet Core),,Rock,Flying,Gen 7,26,5
775,Komala,,Normal,,Gen 7,26,6
776,Turtonator,,Fire,Dragon,Gen 7,26,7
777,Togedemaru,,Electric,Steel,Gen 7,26,8
778,Mimikyu,,Ghost,Fairy,Gen 7,26,9
779,Bruxish,,Water,Psychic,Gen 7,27,1
780,Drampa,,Normal,Dragon,Gen 7,27,2
781,Dhelmise,,Ghost,Grass,Gen 7,27,3
